model,resample,macro_recall,macro_f1,accuracy,roc_auc_ovr,recall_low,recall_mid,recall_high
logreg,none,0.553±0.056,0.520±0.057,0.665±0.048,0.765±0.025,0.948±0.029,0.075±0.038,0.635±0.137
logreg,SMOTE,0.548±0.051,0.541±0.045,0.587±0.037,0.757±0.023,0.682±0.047,0.283±0.140,0.678±0.178
random_forest,none,0.580±0.027,0.575±0.025,0.641±0.025,0.759±0.045,0.790±0.038,0.227±0.057,0.723±0.054
random_forest,SMOTE,0.580±0.040,0.582±0.035,0.627±0.039,0.750±0.041,0.742±0.054,0.283±0.068,0.713±0.063
xgboost,none,0.558±0.020,0.561±0.018,0.621±0.017,0.765±0.043,0.777±0.035,0.236±0.069,0.660±0.038
xgboost,SMOTE,0.578±0.022,0.581±0.018,0.627±0.024,0.764±0.041,0.747±0.042,0.302±0.066,0.687±0.074
